Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,SPECIFIC GRAVITY,Pressure (psia),PR,Hydrate Temperature (K)
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,1739.975,1.46455981,292.4924
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,945.5251,1.322427613,289.6538
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,15.69107,0.020439127,238.3875
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,128.613,0.181157968,268.5369
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,698.7098,0.964229722,287.073
0,77.78,0,0,0,0,0,0,0,0,22.22,0.768286759,944.4444444,1.247996012,288.2564087
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,1317.494,1.286115546,292.8508
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,85.70551,0.111639666,273.0584
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,2403.957,3.386095996,293.0597
0,52.26,0,0,0,0,0,0,0,0,47.74,1.014651219,722.2222222,0.839920637,286.2098694
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,1310.156,1.702041468,289.6369
0,0,0,0,0,0,0,0,0,0,100,1.519157749,725.2,0.677124183,283.26
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1546.688,2.284450231,291.4738
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,1554.192,1.952489114,290.4086
0,50.4,0,0,0,0,0,0,0,0,49.6,1.032607249,2055.555556,2.369833379,292.1621094
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,1476.066,2.036992623,291.8079
0,60,0,0,0,0,0,0,0,0,40,0.939930963,500,0.603427468,283.8873596
0,50,0,0,0,0,0,0,0,0,50,1.036468761,1598,1.838895282,296.58
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,152.387,0.197968023,272.9804
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,500.1653,0.732505231,283.9237
0,92,0,0,0,0,0,0,0,0,8,0.63101001,1833.333333,2.62159431,291.460083
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,137.9942,0.17178923,277.7181
0,50.58,0,0,0,0,0,0,0,0,49.42,1.030869569,722.2222222,0.833342821,286.2098694
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,1447.007,1.217964797,291.7876
0,52.55,8.12,4.74,1.31,1.88,0,0,0,0,31.4,0.988463027,944.4444444,1.194352371,290.0488892
0,52.55,8.12,4.74,1.31,1.88,0,0,0,0,31.4,0.988463027,1388.888889,1.756400545,292.1719055
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,2468.812,3.406996592,294.4365
0,52.26,0,0,0,0,0,0,0,0,47.74,1.014651219,1388.888889,1.615231994,290.4651794
0,74.96,0,0,0,0,0,0,0,0,25.04,0.795510418,1833.333333,2.386650586,291.7012939
0,94.5,0,0,0,0,0,0,0,0,5.5,0.606875561,1388.888889,2.015160455,290.2572327
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,1439.224,1.811854922,291.5837
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,1457.338,2.01114771,291.7419
0,64,0,0,0,0,0,0,0,0,36,0.901315844,2500,3.077150313,293.1330872
0,87.56,0,0,0,0,0,0,0,0,12.44,0.673872793,695,0.968968471,284.12
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,967.8711,1.194877661,289.716
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,128.0377,0.179075722,273.9106
