Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,Nitrogen,H2S,SPECIFIC GRAVITY,Pressure (psia),PR,TPC,Hydrate Temperature (K)
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1896.255,2.366477545,256.1583947,294.6431
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1828.729,2.282206831,256.1583947,294.4725
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1761.369,2.198143281,256.1583947,294.2967
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1761.369,2.198143281,256.1583947,294.2967
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1759.228,2.195471368,256.1583947,294.2918
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1758.119,2.194087364,256.1583947,294.2894
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1755.889,2.191304382,256.1583947,294.2844
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1751.411,2.185715953,256.1583947,294.2743
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1742.384,2.174450489,256.1583947,294.2539
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1724.071,2.151596335,256.1583947,294.212
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1686.549,2.104769842,256.1583947,294.1234
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1608.777,2.007712383,256.1583947,293.9276
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1531.295,1.911016837,256.1583947,293.7144
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1455.439,1.816350497,256.1583947,293.4857
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1380.459,1.722777383,256.1583947,293.2376
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1305.894,1.629722177,256.1583947,292.9663
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1240.716,1.548381707,256.1583947,292.7065
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1175.441,1.466920183,256.1583947,292.4224
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1110.532,1.385915418,256.1583947,292.1133
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1045.999,1.305379891,256.1583947,291.7763
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,981.8808,1.225362024,256.1583947,291.4083
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,918.2207,1.145915854,256.1583947,291.0057
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,855.0679,1.067102782,256.1583947,290.5642
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,792.4798,0.98899444,256.1583947,290.0789
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,730.5236,0.911674693,256.1583947,289.5439
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,669.2787,0.835242631,256.1583947,288.9524
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,608.8394,0.759815937,256.1583947,288.2958
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,549.3186,0.685535507,256.1583947,287.5642
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,490.8531,0.612572064,256.1583947,286.7451
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,433.6097,0.541133771,256.1583947,285.8231
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,377.7942,0.47147746,256.1583947,284.7788
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,323.6633,0.403923487,256.1583947,283.5878
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,271.5402,0.338875197,256.1583947,282.2184
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,221.8363,0.276846006,256.1583947,280.6296
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,175.0789,0.218493971,256.1583947,278.7666
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,131.9456,0.164664721,256.1583947,276.5565
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,93.30004,0.116436054,256.1583947,273.9005
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,83.62307,0.104359444,256.1583947,273.0776
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,83.24821,0.103891628,256.1583947,273.044
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,83.24821,0.103891628,256.1583947,273.044
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,82.60968,0.103094759,256.1583947,272.8793
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,82.36462,0.102788931,256.1583947,272.8093
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,81.8786,0.10218239,256.1583947,272.6699
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,80.91461,0.100979355,256.1583947,272.3914
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,79.01839,0.098612922,256.1583947,271.8353
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,75.34997,0.094034828,256.1583947,270.7267
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,68.48584,0.08546857,256.1583947,268.5238
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,56.47459,0.070478838,256.1583947,264.1758
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,46.40031,0.057906395,256.1583947,259.879
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,37.89113,0.047287157,256.1583947,255.5857
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,30.74361,0.038367236,256.1583947,251.297
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,24.77388,0.030917166,256.1583947,247.0129
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,19.81831,0.024732742,256.1583947,242.7333
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,15.73161,0.019632645,256.1583947,238.4583
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2667.651,2.603106551,285.5193563,296.2095
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2598.872,2.535991676,285.5193563,296.0756
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2530.092,2.468875824,285.5193563,295.9392
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2461.409,2.401854625,285.5193563,295.8005
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2392.825,2.334930032,285.5193563,295.6593
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2324.344,2.268105946,285.5193563,295.5155
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2255.973,2.201389198,285.5193563,295.3688
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2187.717,2.134784668,285.5193563,295.2191
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2119.582,2.068298211,285.5193563,295.0661
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,2051.576,2.001937632,285.5193563,294.9096
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0,0.00,0.768418394,1983.706,1.935709763,285.5193563,294.7493
